comment,stance_llama_8b
all that hot air where are the balloons,OTHER
what a disgrace joe biden is,CONSERVATIVE
what a joke he is all he cares about is ukraine and could care less about us he never tells the truth and has nothing to offer except anger and hate towards anyone who doesnt agree with his delusions he disgust me,OTHER
did he say he beat the winner,OTHER
well done the stark difference between biden and trump was on full display tonight,LIBERAL
why is he always yelling calm down grandpa the state of the unions being held up by toothpicks and joe you are big pharma nice try though,LIBERAL
cut the bs and let us hear what you have to say for your self and how many times its trps fault all the noise is stupid people,OTHER
all there filling their pockets,OTHER
what the hell is everybody so f happy about,OTHER
so fake i cant believe im watching this anything he say they so happy do they even listen what he says lol in beginning wen he wen he forget his script they like dum people just listen to what he says did nothing what he said,OTHER
need to cut bidens pay if youd cut the pay of all those officials in half it would cover our national debt trump never took a salary when he was in office,CONSERVATIVE
my god he looks halfdead i can hardly wait to hear some more lies and horsesht lets see how stupid he thinks we are,OTHER
if you just kept trumps border policy the invasion of our country did not happen,CONSERVATIVE
you wont see biden for a while he is going to have a post high crash when the drugs they pumped him up with wear off,OTHER
notice all the bleached blonde bimbos there,OTHER
well they had all the criminals in one room at least all know who they are,OTHER
why does biden have to yell with stern anger all the time its painful,OTHER
i thought the response sounded phony since half the issues she brought up were under trump or because of him,LIBERAL
i wish they had started chanting trump,OTHER
this is just pitiful biden should move himself and his administration to ukraine hes worried about their wellbeing more than the needy of the united states,CONSERVATIVE
ironic biden talks about democracy and freedom when he wants total governmental control of the 2nd amendment raids political opponents reinstate unconstitutional laws like roe v wade and threatened the us supreme court absolutely sickening how people still support this monster,CONSERVATIVE
thats not the real biden thats an ai robot biden no way does he go from dopey sleepy to this,OTHER
joe biden is full of crap,OTHER
what a piece of work,OTHER
was fani willis and her boyfriend wade their,OTHER
vote 2024 with trump before was better than now and in trump administration everything would be better for our future trump put americans first lets make america great again,CONSERVATIVE
just imagine four more years of this he craps out and kackeling kamala is in office god help usnovcant come fast enough,CONSERVATIVE
the lady talking at the end of this is an absolute psychopath then again ive never lived in the south maybe thats normal behavior,OTHER
so weird and creepy whats wrong its like everyone is in a daze,OTHER
lie after the lie he looks confused i wont waste my vote on this man,LIBERAL
god help us,OTHER
no they cant,OTHER
hows that censorship police,OTHER
we the people want heads these are not americans,CONSERVATIVE
biden dont decide for israel two state who the hell are you to make a decision on behalf of israel god bless israel in the mighty name of jesus christ amen and amen from safrica amen,OTHER
he said nothing significant,OTHER
no mention of asean in relation to china,OTHER
i thought i was watching rich little doing stand up,OTHER
he nailed it and maga babies knew it,CONSERVATIVE
biden make china great agian,CONSERVATIVE
thats right now you want to build our enemies a four or five million dollar peer you the man american last your major priority thank you so much,CONSERVATIVE
not enough negative adjectives and words to express the lament of having this schill in office as president of our nation complete travesty beyond comprehensionhistory is watching and will judge accordingly,LIBERAL
wow talk about out of touch with reality,LIBERAL
look at all the lizard people,OTHER
aint no way in hell im watching this ill catch the highlights tomorrow,OTHER
we the people will hold january 6 coup plotters and unamericans accountable,LIBERAL
definitely not four more years,LIBERAL
there are no new elements in the speech,OTHER
joe wants to get 3 4 year old kids on the dems government plantation forever,CONSERVATIVE
promise promises promises lying about a lot of things now he act like hes care about americans,OTHER
how many times did he say my predecessor sheesh a typical democrat blame others for your own shortcomings,CONSERVATIVE
majority of these fools are so old,OTHER
how can the speaker just sit there and say nothing shame on him,LIBERAL
a legend in his own mind,OTHER
the demorats jumping up clapping hands for biden shows the mentality of the demorats that represent american citizens god help you all,CONSERVATIVE
he released sanctions on russia so they could make billions to fund the war that nato provoked,LIBERAL
got to start buying vote now,OTHER
the party of reagan in total silence when the us president stands strong against russia wow,LIBERAL
where is mike tyson when ya need him,OTHER
i would literally vote for anyone else,OTHER
wow president biden knocked it out of the park,LIBERAL
this is a campaign speech,LIBERAL
speaker johnsons facial expressions say it all i can only imagine his clenched fists behind that table,OTHER
joe stop lies to american people,LIBERAL
meanwhile republicans giving the careless whisper sotu,LIBERAL
so far this is not a state of the union,OTHER
yeah up to 80 million and from china dont have a problem paying for stuff you and son,OTHER
destroying our country and selling it to the highest bidder and they are clapping,OTHER
in case some of yall cant see it the dislikes are currently 12k,OTHER
im a democrat and id rather vote for trump than biden,LIBERAL
these fools were shouting four more years,OTHER
whoever prepared this speech is a disgrace,OTHER
i was hoping to hear the potus deliver a state of the union address unfortunately gi joe turned it into a campaign pep rally mr speaker knows,LIBERAL
that was the biggest lie fest i have ever watched next to willis and wade,OTHER
5534 ashujunafirlem achfr,OTHER
this guy stinks,OTHER
biden and his minions truly sicken me,OTHER
how about the city that got shut down by train wreck there is still in dire straits,OTHER
you maga people quickly forget that your guy is an adjudicated rapist and insurrectionist with half a billion in penalties and fines 4 indictments with 91 felony charges this is your guy really,OTHER
this president does not care about the american people,LIBERAL
when biden drinks does he speak clearly,OTHER
what a disgracelord forgive joe for he doesnt know what hes doing,OTHER
we checked the numbers an this administration is breaking are pockets period lies an more lies were paying for those people coming over are boarders wake up people where do u think that money is coming from when were all having trouble even getting are taxes we worked for period,CONSERVATIVE
where is meely mouth mitch,OTHER
biden live in the present not in the past for goodness sake god help you all with your current president who is an embarrassment to your country from safrica,LIBERAL
trumps in trouble vote blue,LIBERAL
imagine if old joes nose grew every time he told a lie just imagine,OTHER
yeah but theyre running trump and a bunch of other people out of business in new york because theyre not democrats,LIBERAL
literally never seen an administration lie as consistently as this one its an embarrassment to our country other nations watched tonight and best believe they see all of our weaknesses starting at the very top so sad trump will beat biden this upcoming election dont forget to vote and god bless our country,OTHER
ive heard so many lies its hard to watch he makes my skin crawl creepy joekeep him away from smelling little girls hair,CONSERVATIVE
from the sanity of australia to president biden real measurable achievements and promises which we know he will keep,LIBERAL
whisper to us joe,OTHER
does joe really now what the constitution is all about,OTHER
why are all these businesses continuing to close and file bankruptcies why is food sky high why are homes so expensive why is biden such a liar when he has destroyed our borders and economy,CONSERVATIVE
you have to respect our first lady for waking up to that every morning few are that brave,LIBERAL
johnson is making it obvious who the gop cares about,CONSERVATIVE
youre sickening,OTHER
how many abraham lincoln are there,OTHER
god have mercy on any one who votes biden on nov 5th,CONSERVATIVE
they raised the debt lying again,CONSERVATIVE
a very safe speech no one has any idea what he said,OTHER
drugs are wearing off hes getting spacy,OTHER
no way could i even begin to stomach listening to this bulhit president socalled wanna be leader i might vomit all over the floor it doesnt matter whatever he says is stupidity and ignorance,LIBERAL
no lies no whining republicans must be thinking what the hell is happening,LIBERAL
is this a state of the union or a campaign speech sure sounds like the latter did he just threaten the supreme court justices sounded like it to me,OTHER
what happened planet has just got on its definitely not america or earth,OTHER
this creep has never held a job besides politics he has no clue to what the working american has to do every day to keep above water to survive he wants 4more yearsgod help us we would be finished for sure cant wait for nov,CONSERVATIVE
are tax dollars is paying for all this there not pulling the money out of there butts,CONSERVATIVE
and now people on social security have to taxes on their social security,OTHER
scary hes out of his mind,OTHER
a direct quote from tonights speech amb umber my planb,OTHER
its like hes telling chuck norris jokes about himself,OTHER
i dont understand why are you talking about ukraine charity begins at home youre supposed to serve the interests of the american people secure the border america first,CONSERVATIVE
now we know who had the cocain in the white housepretty sure was some in the white house tonight,OTHER
im from elkhart indiana an had to move cause inflation took away alot of are jobs so more lies,CONSERVATIVE
magat tears have flooded this thread where did the gop get that ai robot in the green dress for their response cringy,LIBERAL
all lies an more lies this administration has done nothing all talk,LIBERAL
how abut the afghanistan withdraw getting soldiers killed leaving billions of dollars in equipment borders is a mess crime going up new gangs appearing,CONSERVATIVE
the world rolled around laughing at this old decrepit man,LIBERAL
what he mentions trump policies takes credit for them and trashes trump,LIBERAL
that was good energetic speaking,OTHER
all he so called president cares about is that ukraine keeps its border but doesnt want us to have a border what an evil man to be in charge of this country i dont think i could meet him in person without screaming at him,LIBERAL
this wasnt a state of the union address it was a campaign speech full of hate vitriol and lies,LIBERAL
absolutely briliant speech right out of the blocks i will not bow to putin unlike trump mike johnson just sat in his seat and squirmed and counted his fingernails listen to president bidens speech and tell me he has alzheimers then listen to trumps we know who is in mental decline it sure as hell aint biden,LIBERAL
screaming doesnt work joe lier lier biden on fire,OTHER
the response at least wasnt completely scripted,OTHER
the usgovernment and europe are preparing for a new war this is another warspeach in front of a crazy crowd trump needs to take over and stop this regards from germany,OTHER
this man is a joke lies every time he speaks,LIBERAL
history was made tonight record breaking of liars was there,OTHER
if u send me to congress huh joe ur running for president,OTHER
the republicans should have chanted no more years,LIBERAL
mrpresident time to go to bed nowgood night,OTHER
end the scourge against women in america does this mean they finally know what a woman is,LIBERAL
dont they realize that those batteries dont last forever and have to be disposed of where they going to put them so they wont get in to the environment,OTHER
even so mr biden that you have a good speech you have to know for sure how valuable ukraine is to vladimir putin and to what final end he is fully committed to taking full control of it back from nato and the us are the american people committed to a war on inflation that could last 15 years that it might take to force the russian people to turn against him,OTHER
can ai translate this speech into english,OTHER
i effing hate this man give his wife the folded flag already and lets move on,OTHER
if you support joe biden after all his destructionsatan has a hold on you please get on your knees and repent,CONSERVATIVE
50 years of corruption,OTHER
such a lying scumbag,OTHER
why was he late i was taught to be on time for everything clearly he doesnt care for us,OTHER
wow united state this is sad man joe biden destroyed everything in 3 years,CONSERVATIVE
pelosi and schumacher look like their going to pee their pant,OTHER
where is felon trump in prison or still in court bleach man,LIBERAL
agree so phony,OTHER
third world politics is finally established in this country and communist propaganda and lie become the main topic of this sotu,OTHER
the crowd chanting 4 more years is crazy,OTHER
so sadelderly abuse i am really embarrassed as an americanthe whole world is laughing watching the circus,OTHER
what a joke fck joe biden trump 2024,OTHER
i thought this was an snl sketch i cant believe this is the real republican response there is literally a border bill sitting waiting to be passed you guys are nuts this is just so weird,LIBERAL
i remember when people could not stand george w because of the way he pronounced nuclear one word,OTHER
mtg represents her constituents she is the voice and character of her voters i think ill stay out of that part of georgia more dangerous than south side of chicago,CONSERVATIVE
this was nothing more than a state of bs the people address,OTHER
no more year,OTHER
it was the same speech like last time again using some black people as shield wow joe biden is deep crook,CONSERVATIVE
fjb fjb fjb fjb to infinity and beyond,OTHER
biden said he going to make the wealthy pay their fair share thats a laugh he is the one who wrote the tax codes 30 for working class and 8 for the wealthy he also took the retirement fund and turned it into a retirement tax so they could use it as a slush fund when he says make the wealthy pay look out working class your taxes are going up,CONSERVATIVE
how is it that millions still believe america is not ruled completely by big pharma prison industrial and military complex there is no left and right,OTHER
has everyone ordered their gold trump sneakers those legal bills arent going to pay themselves,OTHER
he just agreed to be working with the 2030 agenda,OTHER
lol he didntvwatch all the video lol blind joe blind,OTHER
every single word is flat out,OTHER
i wonder how much meth they gave joe biden,OTHER
republicans and the maga cult are so upset biden had a good speech tonight the comment section here is full if salty people and others who are still in denial,LIBERAL
hey joe you are a model catholic you have a clear pathway to heaven,OTHER
biden is a great president and must be our president in 2024 dont need insane other runner lets support biden,LIBERAL
thats right we should fight other peoples civil wars and not put in america first imagine that,LIBERAL
are any republicans and democrats talking to one another do so go over to the other side and chit chat please,OTHER
i hope the january 6 insurrectionists were able to watch bidens speech from their prison cells,OTHER
he says american democracy prevails like it was some event against another nation lol it was all americans that stormed the capital says trump didnt care about the pandemic i believe he got out vaccines pretty darn quick says trump told putin to do what he wants lol yeah right thats why putin didnt do anything while he was in office then fragile biden comes in and he invades ukraine joe why is the border flooded with ppl drugs why are prices through the roof we leave noone behind what about how you withdrew from iraqafghanistan lies bs lies bs its amazing how many sheep believe this moron yeah jobs in america but where does all the parts come from not america you could go on forever funny the other news channels shut off the comments i wonder why,LIBERAL
bad actors they are getting paid for clapping and their fake smiles ill give him credit for making all those numbers up lol but dont quote himhypocrisy its real in the left side,OTHER
this was a campaign speech,OTHER
excellent speech talking about the things that really matter time for economic reform so that ordinary working people get their fair share more security at the border without eliminating immigrants who deserve to arrive and we need international cooperation to resolve global crises a rational approach to dealing with climate change which is a reality as the people in north texas must realize by now lets hear reputation based in reality instead of all this ridiculous name calling,LIBERAL
he was so jacked up he didnt talk about what people going through what the idiots all he talk about all stupid democrats all of them problem oriented wow god help our country people must come together take him out of the wh people wake up not stupid,CONSERVATIVE
trump said biden is going to get us into world war ii terrifying,CONSERVATIVE
what kind of drugs did they give him just to get through the speech probably some of the drugs hes been letting come over the border,CONSERVATIVE
shame on us,OTHER
rfk jr 2024,OTHER
all the fake news channels turned off comments remember when gropy joe ran the last time youtube took off the counter for thumbs dawn and didnt allow comments,OTHER
our enemies inside and outside our open boarders are smiling and ringing their hands,CONSERVATIVE
from me and my organization plus other organizations this was the most state of the union address we ever heard a president deliver our president dont need no cognitive test at all cause this man is on point oh my god we say go go go commander president joe biden people votepeople vote we and many others are behind commander joe biden we even have many republican friends that will be voting for commander president joe biden right along with us bidenharris 2024 vote katie britt you are trumpitize you full of that juice your speech was fake fake fake fake sitting in your kitchen like a rich princess dont know anything about being poor girl please you are just as bad of a as donald face trump our commander president joe biden laid it all down trump need to move to russia and be vice president for puden we dont need no donald face trump were on the commander president joe biden vote we are on just like our commander president joe biden we our commander president of the joe biden our president joe biden put you maga people on display tonight maga people yall are a,LIBERAL
trumps brain is turning into mush and every penny you send him will go to paying the selfproclaimed billionaires legal bills,LIBERAL
what were they thanking him for,OTHER
thatwas utterly embarrassing,OTHER
sleepy joe you let the country down,CONSERVATIVE
why did the border only become a problem because of an upcoming ellection all of a sudden its not secure,CONSERVATIVE
bidens speech was exhibitionistic like a circus but katie britt is a real airhead,OTHER
id actually love our country to go back back to morality virtue godliness etc,CONSERVATIVE
history is watching how you are destroying the value of usa,CONSERVATIVE
he talked about billions from companies and we have a 1 trillion ever 3 month problem,OTHER
cantankerous old man no doubt hyper caffeinated for the evening not to mention a hyper partisan speech far from a genuine state of the union address,OTHER
what a great speech biden wins,LIBERAL
laken riley is a democrat and she hates republicnas why are you trying to use her as a political pawn lmao,OTHER
trump i agree with you,CONSERVATIVE
room full of stupid people and paid actors it takes a really stupid person to believe anything coming out of his mouth,OTHER
well done biden you knocked it out of the park,LIBERAL
liar is going to lose,LIBERAL
i swear this was a complete shitshow lies and propaganda ukraine what about your own people what a sham,LIBERAL
mike johnsons facial expressions are pure gold,OTHER
he really started with jan 6th then say we must speak the truth pathetic i just cant thanks foxnews but i can not take him anymore,OTHER
biden needs a body double and a different speech writer,OTHER
a life time of practice a life time of liesyou know i mean the big guy haha,OTHER
pres trump must sue biden 6 january insurrection blaming djt from safrica,OTHER
whats pelosi doing there ugh,CONSERVATIVE
ill tax you and you and then ill tax that tax so i can tax you more keep you in poverty lets go joe burden,LIBERAL
whats with all the witches in white,OTHER
vote against this regimebefore its too late,OTHER
would like to see a random drug test on brandon fjb,OTHER
you cant love your country only when you win but its ok to disrespect the supreme court when you dont,LIBERAL
that traitor johnson is for continuing the war in ucraine,LIBERAL
so i am an enemy of the state because i support trump,OTHER
dynamite speech thank you president biden for taking care of the citizens of the us capped drug prices caps on bank overdraft fees to 8 internet service heading to ruralurban america repairing old bridges and roads raising tax brackets so as to not eat up your pay raise strong economy per realfactual data and the long list goes on,LIBERAL
the white house has become an assisted living facility,OTHER
i think this was the worst state of the union i have ever watched,LIBERAL
you cant love your country only when you win tell that to hillary clinton,LIBERAL
maga trump trump trump trump,OTHER
state of union address by a clown,OTHER
i cant finish this gaslighting session just nonstop lies and ukraine support what happened to american citizens,OTHER
these puppets clap for lies then the cackler kamala stand up for everythingyep they pull her strings,OTHER
fdt,OTHER
this man told so many lies in this speech he wouldnt know what truth is,LIBERAL
look at all the idiots clapping all satans puppets,OTHER
address the real problems of the usa will u joe for a change,OTHER
i cant watch probably a giant train wreck,OTHER
omg biden give me headache just listening to him,CONSERVATIVE
people r a virus to the planet they have to go i firmly believe in population control too many idiotsim not black anymore either i now identify as a caucasian binary triangular squirrel respect my gangster and im telling santa claus kids r fake this yearvote for trump 2024 long live the illuminati someone gonna be butthurt over thiswelcome to my social experiment,OTHER
this is like the exercise yard at san quinton full of criminals,OTHER
katie you had your speech made up ahead of time it sounds like you were talking about trump all the way,OTHER
incredible speech poor rump i wonder if he still wants to debate he better start practicing,OTHER
such a mean old man,OTHER
dream on biden shows the mentality of the demorat party pray for peace putin lives in bidens head dear god biden is crazy he wants war from safrica,CONSERVATIVE
what a disgrace to our nation,LIBERAL
you all are talking about lies without citing one thing that he said you are so brainwashed,OTHER
couldnt stand watching for more than the first 10 minutes so tell me did biden say anything about securing our borders which is one of the most important things the potus should do to ensure our national security i am going to guess not did he know that he has the authority to invoke the defense production act without needing congress to agree so that ammunition supplies artillery shells and other military equipment production could be increased and supplied to ukraine i am also going to say not did he explain why he continues to forgive student loan debt and transfer that debt to other taxpayers even though the supreme court told him that he did not have the authority to do so again i am going to say he didnt,CONSERVATIVE
its funny republicans would probably get along very well with biden hes old white been in the government for decades a selfadmitted capitalist wants manufacturing jobs to go back to america and clearly loves this country as evidenced by how much he proudly proclaimed it today,LIBERAL
oatmeal brains,OTHER
who are those idiots clapping including haris,OTHER
all the news supporting the pres has the comments off this guy lied about everything has had four years in office and ruined everything was fighting the texas to secure the boarder and now is acting like he is for protecting it,LIBERAL
inflation has gone down where mars,OTHER
every time i see biden i hear circus music not exaggerating,OTHER
a horrible state of the union address and an even worse response to it one of the cringiest night in american history,OTHER
i see the trolls and censors are very active here,OTHER
bidenlie only we have to way to remove biden is to old to be a president he looks like mummy,CONSERVATIVE
this man was a senator for 36 years and a vp for 8 yet he blames everything on trump he has done nothing for this country in 50 years nothing will change now,LIBERAL
cant tell whose walking sticks these are,OTHER
mr speaker the president of the united states 3644 actually starts at 4608,OTHER
where are these 100k jobs with no college degree,OTHER
typical yt is burying comments again,OTHER
i see bidens writers are still using pieces from other presidents very nice very historical,OTHER
sorry guys im changing my vote to bidenhe can do the job and isnt divisive and as dishonest as trumpamerica needs to come together and that wont happen with trump plus no standing up to putin could be the one of our biggest ever mistakes and frankly no president of mine will not support ours allies against the murdering thug who like china and iran will do anything to damage america,LIBERAL
worst president ever and cabinet they should all be ashamed of themselves for destroying this country,LIBERAL
this guy is quick to forgive china but has it out for putin kind of interesting considering china just killed millions of people across the globe,CONSERVATIVE
god they are so far removed from the people,LIBERAL
this man is just too old seriously he would not respond well any moment of pressure 11535,OTHER
great speech a true leader who knows how to get things done winning,CONSERVATIVE
fox will have a field day with this speech and a massive thank you to marjorie taylor green and all involved in honouring laken riley,CONSERVATIVE
joe has an ear piece,OTHER
he cant even get the name of a girl who was murdered because of him correct everyone that says they will still vote for him are a pathetic excuse of an american citizen,LIBERAL
the worst president in us history giving his last state of the union address thank god trump,LIBERAL
so much for decorum marjorie taylor greene is an insult even to the republicans at this point mike johnson must be so pleased to be part of the same party good christian right she is a despicable human being i hope trump chooses her as his running mate it would be so appropriate,LIBERAL
i must be honest the demorats to be chanting 4 more yearsfor biden their mental state must be in question its unbelievable to think these demorats make decisions on behalf of america citizens god help you all pray god bless pres trump and the maga patriots and god bless israel in the mighty name of jesus christ amen and amen from safrica amen,CONSERVATIVE
not convinced the subtext was i have energy but the performance was that of a method actor the tone was angry bitter and accusatory the libs are terrified of trump,OTHER
actions speak louder than words as always they lie and promise without delivering look around you and youll know what the democratic party really wants mass illegal immigration to take jobs sew chaos having us welcome a policesurveillance state with open arms to be safe from the thousands of criminals hes all but rolled out a red carpet for they care nothing for americans,OTHER
biden gets all his kick backs from ukraine so do many democrats,CONSERVATIVE
this guy is a legend he is 13 the age of the usa,OTHER
why are they applauding,OTHER
irf millions of people from around the world and desdly drugs can make it easily through thr border this is not the time to ban assault weapons or the black market and gangs will have them imagine rhe outcome,CONSERVATIVE
time for a diaper change and an ice cream cone as promised,OTHER
im 20 minutes in and are asking myself who the tf voted for this idiot wo ever voted for this fn idiot should be ashamed,OTHER
everyone hates these crooks yet there in office wow theres a few good ones,OTHER
obama never underestimate joes ability to fck things up,OTHER
i like how cnn disabled comments,OTHER
his mouth didnt match him actually talking correctly and it appears biden was ai generated because of his ability to speak as we all know is messed up most of the time his hands were also flat when he talked most of the time which is a sign of ai generated graphics i call the whole thing totally faked,OTHER
what drugs do they give him that makes him angry and coherent,OTHER
hes a piece of crap,OTHER
biden spent the majority of his time yelling at the top of his voice admonishing others in an attempt to distract from the true state of the american union since he took over a speech with absolutely no substance by a president who is barely alive at this stage surely the us can do better than that he is an embarrassment,CONSERVATIVE
what a complete waste of time and tax payers money,OTHER
he couldve concluded all these in one word asufutimaehaehfutbw but he didnt,OTHER
he had to bring up jan 6 as americas darkest day what an idiot,LIBERAL
but he didnt say her name he called her lincoln not laken,OTHER
angry old wannabe tyrant gaslighting and shouting down at everyone hes a jerk,LIBERAL
biden on target sincere nothing like his predecessor additionally britts repub rebuttal pure theatrics bored me after 10 minutes,LIBERAL
who careswhy are we covering this,OTHER
how did they prop him up,OTHER
all i seen tonight was biden telling us a bunch of lies that he has done so much for the country well he has he distroyed it he made us a laughing stock with the world,CONSERVATIVE
one of bidens best speecheshes winning reelection for sure now you cant love your country only when you winremember that republicans,LIBERAL
hunters absence was the first highlight of the night hatred filled the room emanated from pitiful politicians usa was stepped on again with accommodations,OTHER
it really does make you wonder like what the end game for these people where are they going to go,OTHER
what a disgusting lying piece of crap he belongs in an institution not the white house worst president in history,LIBERAL
gtb instead of gdp 14606 this is why our country is fed up,OTHER
cartel biden is a national disgrace and global embarrassment fact,CONSERVATIVE
this wasnt a state of the union it was a state of confusion,OTHER
proud of our president powerful speechi hope to see the changes he promotes when he is re elected,OTHER
we want a republic not a democracy,CONSERVATIVE
that table talk isnt gonna cut it youd been better off just showing proof of his lies one by one with facts or show his numbers vs trumps as far as border crossings i know weve all seen them but guess who hasnt this appeal to family values wont cut it against these demons know your enemy right obviously republicans still dont get it edit ugh not the empty chair technique,LIBERAL
what a crock of lies and deception whats up with harris always standing up clapping and staring at the camera like a deer in headlights he has pulled the wool over a lot of peoples head as fellow americans suffer just a touch on this subject criminals can get and do whatever they want and banning something keeps the law abiding the prey he needs to walk away and give up on 24,OTHER
interesting speech but the gops response had more substance,LIBERAL
hes the threat to our country,CONSERVATIVE
joe biden is 100 full of bologna,CONSERVATIVE
look at this theyre all laughing shaking hands joking around this is serious solemn business how about acting like it im profoundly disgusted with our representatives what a circus of hypocritical clowns,LIBERAL
this was the state of the gaslighting i cant believe he used this speech as a campaign speech ohwait this is sleepy joe the opportunist,LIBERAL
cocaine is hell of a drug,OTHER
the longer we collectively put up with this treasonous dogshit the longer it will happen,OTHER
hunter biden dont pay taxes,CONSERVATIVE
hey kamala clean up san francisco too many homeless on the streets make use of yourself,CONSERVATIVE
i am just now watching this i turned the volume all the way down and hit the speed button at the top just to watch the expressions it was quite comical i know from the past 3 years he told all lies then read some of the comments,OTHER
that was not a state of the union speech it was a campaign speech his speech writers are horrendous,OTHER
we might as well communism in our futureif he is reelected,OTHER
what a show thx fox to keep comments open,OTHER
it very much seems the house is divided,OTHER
train wreck,OTHER
proud democrats of what sad sad very sad i have nothing to say about aging but this is from lie after lies of sin,OTHER
this guy is a complete demon,OTHER
i was thinking he was going to walk up to the podium forget where he was and look around like grampa simpson and go which one of you is the mailman,OTHER
a state of union or a state of confusion,OTHER
amazing how much joe and this government cares more about ukraine than our own countrys problems,CONSERVATIVE
i dont know why the speaker of the house was clapping he need to get some balls he needs to get all that information to adjudge and get this guy out of office he compiled enough information to proceed to put president joe biden in his place im talking about impeachment impeachment impeachment no more inquiryfire him persecute him put him in jail,CONSERVATIVE
the wrath of god is coming upon this nationbiden is godless,OTHER
sorry laken died but so do thousands,OTHER
old cronies cluband we pay for these guys to rip us offwhen are we the people who pay their wages going to wake up to the evil that has destroyed our country its so very sadthe entire world has gone madmay god and his magnificent son be with us all in these evil days come quickly lord jesus,OTHER
the angriest political speech in my lifetime how could he start with ukraine he was well medicated and rambling couldnt get trump out of his mind without mentioning his name had no idea what is going on in the country,LIBERAL
is this a state of the union address or a prom celebration could not tell the difference,OTHER
inflation immigration economy omg everything going up all talks no action can we all just get along,OTHER
lie after lie contradiction after contradiction this is a of s,OTHER
united states is a dying empire just as rome and the empires that came after it,OTHER
so amphetamin can make speak even an old dement cheater liar mass murderer,OTHER
fire joe he is the worst,OTHER
i feel like its late on christmas eve and the kids are all wound but we have to hold it together while the elders get their brandy slushes and cackle and reminisce waiting for tomorrow mornings wonder and glory like christmas is coming but all the while being the adult now and knowing aghh its just work and more work pass the moth balls and the brandy slush its gonna be a long wait,OTHER
and these are the criminals from both sides deciding americas fate disgusting,OTHER
biden is a dictator,CONSERVATIVE
hes high,OTHER
i thought it was the most divisive state of the union i have ever seen for a guy that was going to bring the country together 3 years ago,LIBERAL
either you stand with us for democracy against russia or you admit that you are nothing but an enemy of the state i used to disagree with the right on simple things but now i feel they are nothing but puppets for the enemy i hope that i am proved wrong,LIBERAL
joe biden is so distant from america and especially all american citizens problems and needs its actually sad to see how low america has fallen with joe biden his democrat woke politicians administration government that dont even know what america needs are especially whats important to american citizens like the protection america and of israel,CONSERVATIVE
by youre doing you sick f putin is by far a better man and president than you sir whoever you are,OTHER
i just came over to look at these people who forbid me buying bioshock in my country,OTHER
how are you going to compete with president joe biden with a wonderful state of the union like this doansl trump aka the crooked nepotic grifter with your 98 charges,LIBERAL
israel has the right to defend herself,CONSERVATIVE
we picked bernie both times,LIBERAL
so happy i missed this what a joke,OTHER
wow he killed it trump would have been lost the entire time,LIBERAL
the look on johnsons face shows the true state of our nation its sad that we have a president that cares about everyone but us,CONSERVATIVE
my goodness hes one angry elf,OTHER
woow kamala is actually real 4 more years of this guy would be an absolute disaster,LIBERAL
biden 2024 what a great speech mtg is a disgrace republicans under trump are doomed best part was when they cut to langford and he says its true on what would have occurred if the border deal passed trump supporters are delusional economy is booming america is rising and trump and his antidemocratic supporters and enablers will be defeated again democrats will keep the presidency expand their control in the senate and retake the house biden knocked it out of the park mike johnson told the house republicans to not act out they could not follow it and it was hilariously sad to see his face of disappointment and embarrassment biden baited them to act out and they took it he threw it back on to them dark brandon is activated trump is going to lose 2024 and will be convicted in 2025 and behind bars repealing roe v wade and pushing moderates away from the party is the killing blow to trumps hopes in the general election,LIBERAL
one of the worst state of the union speeches ever it was full of lies and hate,LIBERAL
that sad shell of what was possibly human at some point in time couldnt tie his shoes unless they where children hair flavored ice cream cones and people think he runs america bahaha the war is comming be ready the people arent gonna stand for this for much longer god bless america,OTHER
when he was 29 the senate leader who was a white supremest liked joe and let him into the senate early back in those days joe talked about the jungles that senate leader left his desk to joe and joe never marched with mlk he lies,OTHER
biden threatened the woman in the supreme court biden spoke something very dangerous,OTHER
im 62 and have heard quite a few state of the union address speeches tonight i heard literally one lie right after another despicable disgraceful sickening are a few words coming to mind,LIBERAL
the unpatriotic americans on fox spin news are furious that president biden proved that he has the mind of a very healthy 18 years young man,OTHER
i cant listen to him for more than a few seconds the amount of lies and corruption he has perpetrated and perpetuated throughout our country is all i think about when i hear him it makes me rise to 100 on the inside with all of my heart and soul i hate this man for what he has done is treasonous and evil the propaganda the mishandling and free will with our tax dollars looking at his watch during a salute repeatedly at every salute to the dead and the list is endless he deserves to be charged with treason 100 times over and everyone who has allowed his masters to corrupt them as well,LIBERAL
watched to see if he would make it no other reason its all rhetoric,OTHER
liars will be liars pig will stand with pigs and pigs are better than the government,OTHER
creep,OTHER
how about the safety of our boarders fzjb and his administration,CONSERVATIVE
why did they choose that fake drama queen to do the rebuttal,OTHER
this is nothing more than a freak show sad thing is sleepy joe believes his lies he is one of the most pathetic presidents ever weak soggy wet backbone our economy is not the envy of the world what is he snorting,CONSERVATIVE
enough of feeding us your dung biden sandwiches if you want to hear true common sense and a real state of the union speech search for the rebuttal from senator katie britt al,OTHER
we all know biden is the puppet obama is actually calling the shots,OTHER
omg he just pulled the same crap he tried to pull with student loan forgiveness even nancy p said he couldnt do that but all the dems cheered,CONSERVATIVE
how do you know when biden is lying when his mouth is moving lol he mentioned how out of control the border crisis is but yet its fault lol what a clown,CONSERVATIVE
what a tool,OTHER
